Nom,Domaine,Périodicité,Mois,Coordonnees,Commune,Region,Code postal,Creation
Les automnales du festival de thau,Divers,Annuelle,Novembre,"43.3917705831,3.64705148296",Sete,Occitanie,34200,2012
Festival du film de sarlat,Cinéma,Annuelle,Novembre,"44.8983558068,1.2066486429",Sarlat,Nouvelle-Aquitaine,24200,1993
Traces de vie - festival du film documentaire de clermont-ferrand / vic-le-comte,Cinéma,Annuelle,Decembre,"45.7856492991,3.11554542903",Clermont Ferrand,Auvergne-Rhône-Alpes,63100,1991
Les nuits du jazz de nantes,Musique,Annuelle,Novembre,"47.2316356767,-1.54831008605",Nantes,Pays de la Loire,44200,2000
Biennale des arts du mime et du geste,Théâtre,Biennale,Novembre,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,
Festival tous courts d'aix en provence,Cinéma,Annuelle,Decembre,"43.5360708378,5.39857444582",Aix En Provence,Provence-Alpes-Côte d'Azur,13290,1983
Plein(s) ecran(s),Cinéma,Annuelle,Decembre,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,2016
Bonsoir paris !,Musique,Annuelle,Decembre,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,
Jazz'n'klezmer,Musique,Annuelle,Novembre,"48.8626304852,2.33629344655",Paris,Île-de-France,75001,2002
Festival du livre en bretagne,Livre,Annuelle,Octobre,"48.2687578823,-3.56626363851",Carhaix Plouger,Bretagne,29270,1990
Festival des littératures européennes de cognac,Livre,Annuelle,Novembre,"45.6962326551,-0.33507941815",Cognac,Nouvelle-Aquitaine,16100,1988
Musique action,Musique,Annuelle,Mai,"48.6579999356,6.16531229307",Vandoeuvre Les Nancy,Grand Est,54500,1985
Epicurieux festival,Musique,Annuelle,Mai,"48.6901995499,6.17588254434",Nancy,Grand Est,54000,
Éclats de voix (preignan),Musique,Annuelle,Juin,"43.7210485292,0.636835530591",Preignan,Occitanie,32810,
Le chainon manquant,Théâtre,Annuelle,Septembre,"48.0608565468,-0.766005687142",Laval,Pays de la Loire,53000,1991
Foire en scène,Musique,Annuelle,Aout,"48.9640892125,4.37883539725",Chalons En Champagne,Grand Est,51000,1999
Les nuits blanches,Musique,Annuelle,Aout,"43.458933028,6.28265623456",Le Thoronet,Provence-Alpes-Côte d'Azur,83340,2011
Le grand pruneau show,Musique,Annuelle,Aout,"44.2028139104,0.625583928763",Agen,Nouvelle-Aquitaine,47000,2005
Terra incognita,Musique,Annuelle,Aout,"48.3887876245,-0.899702305853",Carelles,Pays de la Loire,53120,2011
Festi wood,Musique,Annuelle,Aout,"44.6573798022,4.70779936262",St Vincent De Barres,Auvergne-Rhône-Alpes,07210,2016
Festival d'energies de soulac sur mer,Musique,Annuelle,Mai,"45.493296382,-1.10918123147",Soulac Sur Mer,Nouvelle-Aquitaine,33780,2001
Baule d'airs,Théâtre,Annuelle,Mai,"47.8106703162,1.66824027351",Baule,Centre-Val de Loire,45130,2006
Les douchynoiseries,Théâtre,Annuelle,Juin,"50.2994352925,3.38947295524",Douchy Les Mines,Hauts-de-France,59282,2006
Festival des fanfares de montpellier,Musique,Annuelle,Juin,"43.6134409138,3.86851657896",Montpellier,Occitanie,34080,1996
Bateau music festival,Musique,Annuelle,Juin,"48.754542649,1.83436184333",Les Mesnuls,Île-de-France,78490,
What the fest,Musique,Annuelle,Juin,"43.6610457488,3.96283033113",Vendargues,Occitanie,34740,2016
La loupe fait son festival,Musique,Annuelle,Juin,"48.473175806,1.02235330632",La Loupe,Centre-Val de Loire,28240,2016
Palais en jazz,Musique,Annuelle,Juin,"49.3990601478,2.85317249363",Compiegne,Hauts-de-France,60200,2012
Les siestes electroniques a toulouse,Musique,Annuelle,Juin,"43.5963814303,1.43167293364",Toulouse,Occitanie,31300,2001
La nuit des sables blancs,Musique,Annuelle,Juin,"48.0806526556,-4.32784220122",Douarnenez,Bretagne,29100,2012
Hors bord festival,Musique,Annuelle,Mai,"44.8572445351,-0.57369678116",Bordeaux,Nouvelle-Aquitaine,33000,2016
Les rendez-vous de l'erdre,Musique,Annuelle,Aout,"47.2316356767,-1.54831008605",Nantes,Pays de la Loire,44200,1987
Un piano sous les arbres,Musique,Annuelle,Aout,"43.6826642395,4.08422296335",Lunel Viel,Occitanie,34400,2008
Thélokalizé,Musique,Annuelle,Aout,"48.2459300421,-2.84098515337",St Thelo,Bretagne,22460,2010
